state,year,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag
AK,2007,129.64510505135,1555,1555,2576,57.69400045126,79.20896554019,217,190,1809,28.24473562498
AK,2008,123.91929158555,1629,1629,2613,58.07965103784,74.11497449166,226,194,1680,25.99273521991
AK,2009,122.89218036847,1779,1779,2780,60.87007190068,79.64854258722,225,194,1783,26.93571192373
AK,2010,132.28244208614,1977,1977,3094,62.04149141489,85.12919467904,243,211,1790,26.98649410817
AK,2011,142.92120321278,2316,2316,3526,66.56785557586,83.17463739751,220,187,1914,27.47907874349
AK,2012,131.11401560566,2149,2149,3259,63.56993157981,88.72017863256,238,195,1743,25.62272246255
AK,2013,139.82088033137,2129,2129,3259,60.27663994148,81.50139070416,227,187,1836,27.4531194853
AK,2014,134.67889836877,2064,2056,3205,60.55108521702,96.369416305,259,223,2132,31.34079629514
AK,2015,136.16354525987,2082,2082,2966,56.95496980824,95.98852691725,259,232,1875,27.07148616126
AK,2016,137.44467393207,2004,2004,2879,56.64840256991,101.40200315397,263,243,1922,27.45500603555
AK,2017,137.90153776791,1909,1909,2863,57.09071716657,91.26625748948,264,248,2110,29.74502208083
AK,2018,144.23852994801,1984,1984,2800,56.4166648899,94.53756614348,227,206,2225,30.98985950605
AK,2019,144.94146885301,1958,1958,2807,57.36695022919,99.13832902674,238,218,2320,33.06600865321
AK,2020,111.5663755408,1989,1989,2696,44.14495541693,70.1301465468,213,191,2294,23.80558902187
AK,2021,148.75742474218,2085,2085,2644,53.2403873539,82.009799323,218,198,1738,27.32462840002
AK,2022,164.70468969649,2249,2184,2841,56.85411120183,94.10982805614,210,191,1493,22.60364316723
AK,2023,164.49837998274,2268,2190,2833,55.89836049146,88.5245959668,205,187,1440,21.42728027067
AK,2024,161.68030258821,2279,2194,2796,53.64626695091,88.06739553767,202,187,1438,20.85284549387
AL,2007,501.56047850487,8867,8333,10725,181.20393115733,200.93449682149,1002,1002,4695,58.86071225729
AL,2008,536.86850881012,9269,8657,11192,185.78543608345,215.0614991871,1065,1065,5392,66.33407301999
AL,2009,513.22425489449,9637,8818,11630,186.36967660341,215.89516322037,1054,1049,5206,61.26547877586
AL,2010,520.37752215644,10165,9471,12424,186.61512635431,217.00263012543,1018,1011,5259,63.21788701628
AL,2011,520.8681062715,10758,10142,12776,192.10234506233,212.70985894209,1001,994,4937,60.08991297491
AL,2012,486.51806080248,10448,9646,12243,181.1884218636,222.85879411182,1071,1070,5298,62.9189336094
AL,2013,539.15521749302,10689,10008,12519,173.37534760963,226.3153185381,1090,1090,5341,63.65756877517
