state,year,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag,r_gdp,r_persinc,r_pce,disp_persinc,rpc_persinc,rpc_pce
AK,2008,123.91929158555,1629,1629,2613,58.07965103784,74.11497449166,226,194,1680,25.99273521991,49926.6,35489.4,28865.5,29693.1,51624,41989
AK,2009,122.89218036847,1779,1779,2780,60.87007190068,79.64854258722,225,194,1783,26.93571192373,54951.9,34976.6,28761.4,30530.9,50046,41153
AK,2010,132.28244208614,1977,1977,3094,62.04149141489,85.12919467904,243,211,1790,26.98649410817,53652,37928.9,30555.8,32703.9,53121,42794
AK,2011,142.92120321278,2316,2316,3526,66.56785557586,83.17463739751,220,187,1914,27.47907874349,54045.5,39548.5,31230.3,34789.2,54737,43225
AK,2012,131.11401560566,2149,2149,3259,63.56993157981,88.72017863256,238,195,1743,25.62272246255,57087.4,40261.6,32002.7,35945.3,55069,43773
AK,2013,139.82088033137,2129,2129,3259,60.27663994148,81.50139070416,227,187,1836,27.4531194853,54627.6,39493.9,32394.9,35184.4,53511,43892
AK,2014,134.67889836877,2064,2056,3205,60.55108521702,96.369416305,259,223,2132,31.34079629514,53303.3,40913.7,32817.5,37075.5,55466,44490
AK,2015,136.16354525987,2082,2082,2966,56.95496980824,95.98852691725,259,232,1875,27.07148616126,53681.1,41763.3,33095.6,38075.3,56504,44777
AK,2016,137.44467393207,2004,2004,2879,56.64840256991,101.40200315397,263,243,1922,27.45500603555,53463.9,40448.3,33216.1,37704.1,54410,44682
AK,2017,137.90153776791,1909,1909,2863,57.09071716657,91.26625748948,264,248,2110,29.74502208083,53550.9,40068.6,33306.8,38525.4,54005,44892
AK,2018,144.23852994801,1984,1984,2800,56.4166648899,94.53756614348,227,206,2225,30.98985950605,52479.6,40876.8,33814.2,40309.8,55410,45837
AK,2019,144.94146885301,1958,1958,2807,57.36695022919,99.13832902674,238,218,2320,33.06600865321,52377.5,41763.5,34572.5,40998.2,56835,47049
AK,2020,111.5663755408,1989,1989,2696,44.14495541693,70.1301465468,213,191,2294,23.80558902187,50332.8,42869.1,33062.4,42022.2,58487,45108
AK,2021,148.75742474218,2085,2085,2644,53.2403873539,82.009799323,218,198,1738,27.32462840002,51454.1,42273,34829.2,44359.3,57520,47392
AK,2022,164.70468969649,2249,2184,2841,56.85411120183,94.10982805614,210,191,1493,22.60364316723,50767.1,42764.7,36670.1,45931.5,58320,50009
AK,2023,164.49837998274,2268,2190,2833,55.89836049146,88.5245959668,205,187,1440,21.42728027067,54059.7,42881.9,37640.6,48363,58470,51323
AL,2008,536.86850881012,9269,8657,11192,185.78543608345,215.0614991871,1065,1065,5392,66.33407301999,200967.4,199308.2,164093.5,141827.1,42242,34779
AL,2009,513.22425489449,9637,8818,11630,186.36967660341,215.89516322037,1054,1049,5206,61.26547877586,194192.1,199810.9,164430.3,143231,41995,34559
AL,2010,520.37752215644,10165,9471,12424,186.61512635431,217.00263012543,1018,1011,5259,63.21788701628,199455,199934.3,163000.8,148862.1,41757,34043
