"","r_gdp","r_persinc","r_pce","disp_persinc","rpc_persinc","rpc_pce","beauty_rev","beauty_est","beauty_ent","beauty_emp","beauty_wag","wellness_rev","wellness_est","wellness_ent","wellness_emp","wellness_wag"
"r_gdp",1,0.992265147525592,0.985006001814943,0.994901475002348,0.0838774409440274,-0.0478978693208298,0.962390241524095,0.938258316474901,0.933858274216395,0.93879156761917,0.939071109066785,0.982938609871442,0.986986640275355,0.976836446199739,0.977988169310169,0.965599432833207
"r_persinc",0.992265147525592,1,0.998224957344496,0.998579252579744,0.0554246468745245,-0.0647613696225515,0.963961885968199,0.932875437132341,0.927452149053097,0.936885476902615,0.935300164291594,0.962404390660114,0.989650965996508,0.98594039208355,0.969462381694496,0.93831410269137
"r_pce",0.985006001814943,0.998224957344496,1,0.99567628204353,0.0304904050454748,-0.0692889552737356,0.961713227979822,0.930316255621338,0.924866869024007,0.932424312834618,0.928642510935741,0.951941680182886,0.987223465541861,0.985502129786434,0.960837833113042,0.924315951229198
"disp_persinc",0.994901475002348,0.998579252579744,0.99567628204353,1,0.0663408817520351,-0.0535279293237301,0.965635726169818,0.936118095710637,0.931350675570182,0.937113028225292,0.936523926680992,0.97124980900021,0.991116862338992,0.985358438218998,0.972241290607427,0.948809284250212
"rpc_persinc",0.0838774409440274,0.0554246468745245,0.0304904050454748,0.0663408817520351,1,0.795290753044885,0.162581647831669,0.161180191151837,0.167082139870788,0.188883246382892,0.225861104841115,0.15776120504599,0.109467977270609,0.109091070668145,0.175008616758721,0.206842301354648
"rpc_pce",-0.0478978693208298,-0.0647613696225515,-0.0692889552737356,-0.0535279293237301,0.795290753044885,1,0.0509097696518208,0.0556334597454526,0.0631895520900647,0.0740700149597154,0.101712533223858,0.0288589570900336,-0.00450920186892457,-0.00128264985185303,0.0415716462185408,0.0679936541567756
"beauty_rev",0.962390241524095,0.963961885968199,0.961713227979822,0.965635726169818,0.162581647831669,0.0509097696518208,1,0.988460360528339,0.986364120551371,0.990313124003597,0.989789218284993,0.967915174190601,0.982485340119758,0.980807363604222,0.978573287898448,0.95561139319261
"beauty_est",0.938258316474901,0.932875437132341,0.930316255621338,0.936118095710637,0.161180191151837,0.0556334597454526,0.988460360528339,1,0.999737676241254,0.988288307808142,0.97878545424811,0.957130243056634,0.961750358023771,0.956765142702719,0.960196640498015,0.947329901830774
"beauty_ent",0.933858274216395,0.927452149053097,0.924866869024007,0.931350675570182,0.167082139870788,0.0631895520900647,0.986364120551371,0.999737676241254,1,0.986531932750733,0.976967899454299,0.955778018435253,0.958512767478034,0.953361355733843,0.957600085052991,0.946765771790361
"beauty_emp",0.93879156761917,0.936885476902615,0.932424312834618,0.937113028225292,0.188883246382892,0.0740700149597154,0.990313124003597,0.988288307808142,0.986531932750733,1,0.994619705854778,0.951767060009698,0.961949673019091,0.96154210584872,0.972376616716551,0.948234432271995
"beauty_wag",0.939071109066785,0.935300164291594,0.928642510935741,0.936523926680992,0.225861104841115,0.101712533223858,0.989789218284993,0.97878545424811,0.976967899454299,0.994619705854778,1,0.955489304965506,0.961440723283537,0.961751808431671,0.976798623686691,0.955208249661735
"wellness_rev",0.982938609871442,0.962404390660114,0.951941680182886,0.97124980900021,0.15776120504599,0.0288589570900336,0.967915174190601,0.957130243056634,0.955778018435253,0.951767060009698,0.955489304965506,1,0.978747196078352,0.965053435532572,0.985678854539828,0.994691775668005
"wellness_est",0.986986640275355,0.989650965996508,0.987223465541861,0.991116862338992,0.109467977270609,-0.00450920186892457,0.982485340119758,0.961750358023771,0.958512767478034,0.961949673019091,0.961440723283537,0.978747196078352,1,0.99755251343192,0.987671156204634,0.962566640668819
"wellness_ent",0.976836446199739,0.98594039208355,0.985502129786434,0.985358438218998,0.109091070668145,-0.00128264985185303,0.980807363604222,0.956765142702719,0.953361355733843,0.96154210584872,0.961751808431671,0.965053435532572,0.99755251343192,1,0.98370434588133,0.948831826217055
"wellness_emp",0.977988169310169,0.969462381694496,0.960837833113042,0.972241290607427,0.175008616758721,0.0415716462185408,0.978573287898448,0.960196640498015,0.957600085052991,0.972376616716551,0.976798623686691,0.985678854539828,0.987671156204634,0.98370434588133,1,0.98249024684942
"wellness_wag",0.965599432833207,0.93831410269137,0.924315951229198,0.948809284250212,0.206842301354648,0.0679936541567756,0.95561139319261,0.947329901830774,0.946765771790361,0.948234432271995,0.955208249661735,0.994691775668005,0.962566640668819,0.948831826217055,0.98249024684942,1
