variable,value,Sector
beauty_rev_r_gdp_elasticity,0.00347807489679174,Beauty
beauty_rev_r_persinc_elasticity,0.003902887337876899,Beauty
beauty_rev_r_pce_elasticity,0.004889832404605005,Beauty
beauty_rev_disp_persinc_elasticity,0.004438703833208398,Beauty
beauty_rev_rpc_persinc_elasticity,0.027088474911390888,Beauty
beauty_rev_rpc_pce_elasticity,0.03424453659538031,Beauty
beauty_est_r_gdp_elasticity,0.060039679400663196,Beauty
beauty_est_r_persinc_elasticity,0.06701042124912497,Beauty
beauty_est_r_pce_elasticity,0.08398742832953766,Beauty
beauty_est_disp_persinc_elasticity,0.07637556544149061,Beauty
beauty_est_rpc_persinc_elasticity,0.46186464359154167,Beauty
beauty_est_rpc_pce_elasticity,0.5838913624582529,Beauty
beauty_ent_r_gdp_elasticity,0.058711875836670875,Beauty
beauty_ent_r_persinc_elasticity,0.06560639823581678,Beauty
beauty_ent_r_pce_elasticity,0.08225076843786559,Beauty
beauty_ent_disp_persinc_elasticity,0.07473066150841823,Beauty
beauty_ent_rpc_persinc_elasticity,0.4542701377335332,Beauty
beauty_ent_rpc_pce_elasticity,0.5744213568158988,Beauty
beauty_emp_r_gdp_elasticity,0.08152697728152464,Beauty
beauty_emp_r_persinc_elasticity,0.09146908942561044,Beauty
beauty_emp_r_pce_elasticity,0.11467177509314139,Beauty
beauty_emp_disp_persinc_elasticity,0.10417238521847012,Beauty
beauty_emp_rpc_persinc_elasticity,0.6263465881317234,Beauty
beauty_emp_rpc_pce_elasticity,0.7924825101707416,Beauty
beauty_wag_r_gdp_elasticity,0.001377907440817335,Beauty
beauty_wag_r_persinc_elasticity,0.001557488711855834,Beauty
beauty_wag_r_pce_elasticity,0.001956916577989479,Beauty
beauty_wag_disp_persinc_elasticity,0.0017660354667802746,Beauty
beauty_wag_rpc_persinc_elasticity,0.011145059587344871,Beauty
beauty_wag_rpc_pce_elasticity,0.014134636938306749,Beauty
wellness_rev_r_gdp_elasticity,0.0018256357502578653,Wellness
wellness_rev_r_persinc_elasticity,0.0020521921213189132,Wellness
wellness_rev_r_pce_elasticity,0.0025729038549799194,Wellness
wellness_rev_disp_persinc_elasticity,0.0023295355539480517,Wellness
wellness_rev_rpc_persinc_elasticity,0.014790421635037814,Wellness
wellness_rev_rpc_pce_elasticity,0.01877847379162,Wellness
wellness_est_r_gdp_elasticity,0.005586850700551603,Wellness
wellness_est_r_persinc_elasticity,0.006144901053271928,Wellness
wellness_est_r_pce_elasticity,0.0076755370140283614,Wellness
wellness_est_disp_persinc_elasticity,0.007049746668258506,Wellness
wellness_est_rpc_persinc_elasticity,0.03835060211015009,Wellness
wellness_est_rpc_pce_elasticity,0.048382752762153286,Wellness
wellness_ent_r_gdp_elasticity,0.005436442130030757,Wellness
wellness_ent_r_persinc_elasticity,0.0059665159822283684,Wellness
wellness_ent_r_pce_elasticity,0.007448543702955543,Wellness
wellness_ent_disp_persinc_elasticity,0.006851801554360857,Wellness
wellness_ent_rpc_persinc_elasticity,0.03616700936975109,Wellness
wellness_ent_rpc_pce_elasticity,0.04557766168841332,Wellness
wellness_emp_r_gdp_elasticity,0.03842797703147603,Wellness
wellness_emp_r_persinc_elasticity,0.04271104529380086,Wellness
wellness_emp_r_pce_elasticity,0.05348039973411068,Wellness
wellness_emp_disp_persinc_elasticity,0.04881584887937458,Wellness
wellness_emp_rpc_persinc_elasticity,0.27300323770792784,Wellness
wellness_emp_rpc_pce_elasticity,0.3456960414083576,Wellness
wellness_wag_r_gdp_elasticity,5.747018624094692e-4,Wellness
wellness_wag_r_persinc_elasticity,6.499012748175163e-4,Wellness
wellness_wag_r_pce_elasticity,8.177611221578581e-4,Wellness
wellness_wag_disp_persinc_elasticity,7.354828204413727e-4,Wellness
wellness_wag_rpc_persinc_elasticity,0.004813769792377172,Wellness
wellness_wag_rpc_pce_elasticity,0.006131667660511093,Wellness
