"","disp_persinc","r_gdp","r_pce","r_persinc","rpc_pce","rpc_persinc"
"beauty_emp",-0.125314600654232,0.09844704475186,0.230581388095979,-0.0925341764095303,0.312584186740958,0.988884383654729
"beauty_ent",-0.0030834556329977,0.134572846022377,0.464729147955876,-0.456798734361441,-0.635589960367736,1.24204662679822
"beauty_est",-0.0171573336814459,0.128360823974109,0.436419071251701,-0.413153425991339,-0.589449810759167,1.17376646322139
"beauty_rev",0.000927331219935789,0.00309280339599898,0.0132367246384024,-0.0108164297228428,-0.00559358404424094,0.0465595869957675
"beauty_wag",-0.00153262100933753,0.00120263562218277,0.00139918112929771,0.000559759551684876,0.0133004326775192,0.016632765281189
"wellness_emp",-0.0129024620241389,0.0294074360077889,-0.0125787754555937,0.0260200021712932,0.24659974718831,0.166204758189468
"wellness_ent",0.00182336914077785,0.000251319394023248,0.0071661970274629,-0.00250388176856623,0.00369705106939103,0.0260318862311222
"wellness_est",0.00343622578471163,0.00220828575848218,0.00895888276826598,-0.00719412247300539,-0.000647787214665025,0.0269785763192362
"wellness_rev",0.00393731439506169,0.00396543105514904,0.00438606792159823,-0.00937504450015278,-0.00153187336935973,0.0147084603894647
"wellness_wag",0.00127900373079205,0.00145122956854976,0.000603145041350765,-0.00259968080171745,0.00240406849973174,0.00559763151178821
